invoiceId,businessId,payerId,montoFactura,relationDays,relationRecurrence,issuerInvoicesAmount,issuerCancelledInvoices,diasActividadPagador,Clients12Months,mora,facturaMorosa,montoFacturaWsz,issuerInvoicesAmountWsz,Clients12MonthsWsz,payerNroFactMorosas,payerNroFacturas,payerAmountFacturas,payerDiasMora,payerRatioMorosidad,payerAvgAmountFacturas,payerAvgDiasMora,payerDesvAmount,businessNroFactMorosas,businessNroFacturas,businessDiasMora,businessRatioMororsidad,businessAvgDiasMora
338,8976,32,1067,1547000,860.0,35.791666666666664,201119339,0.119382,6256.0,2,-14.0,0,1547000.0,201119339.0,2.0,1,6,67536311.04999998,-178.0,0.16666666666666666,11256051,-29.666666666666668,-9709051.0,0,2,-69.0,0.0,-34.5
1313,17624,32,1067,1190000,1002.0,33.36666666666667,345578437,0.0803,6398.0,2,-27.0,0,1190000.0,345578437.0,2.0,1,10,89375093.04999998,-322.0,0.1,8937509,-32.2,-7747509.0,0,3,-83.0,0.0,-27.666666666666668
45,19548,32,1067,2707845,1042.0,29.742857142857144,372602861,0.075278,6438.0,1,-46.0,0,2707845.0,372602861.0,1.0,1,11,90565093.04999998,-349.0,0.09090909090909091,8233190,-31.727272727272727,-5525345.0,0,4,-110.0,0.0,-27.5
1761,15359,37,706,452200,391.0,62.16666666666666,8603700,0.0,4900.0,12,89.0,1,452200.0,8603700.0,12.0,0,0,0.0,0.0,0.0,0,0.0,452200.0,0,0,0.0,0.0,0.0
2587,2772,38,4773,440300,686.0,12.232142857142858,108679130,0.055475,10469.0,3,0.0,0,440300.0,108679130.0,3.0,5,11,32264785.0,2.0,0.45454545454545453,2933162,0.18181818181818182,-2492862.0,0,0,0.0,0.0,0.0
2161,2945,38,4773,856800,689.0,11.677966101694915,112653730,0.053896,10472.0,3,-5.0,0,856800.0,112653730.0,3.0,5,13,33548019.0,0.0,0.38461538461538464,2580616,0.0,-1723816.0,0,1,0.0,0.0,0.0
2803,4282,38,4773,416500,717.0,11.203125,128909130,0.050638,10500.0,3,1.0,1,416500.0,128909130.0,3.0,5,15,35311718.0,-12.0,0.3333333333333333,2354114,-0.8,-1937614.0,0,2,-5.0,0.0,-2.5
1448,7882,38,4773,95200,779.0,10.95774647887324,156526412,0.046378,10562.0,3,-7.0,0,95200.0,156526412.0,3.0,8,23,85949440.0,-41.0,0.34782608695652173,3736932,-1.7826086956521738,-3641732.0,1,3,-4.0,0.3333333333333333,-1.3333333333333333
1233,9790,38,4773,18672290,811.0,10.671052631578949,196460908,0.048009,10594.0,3,-5.0,0,18672290.0,196460908.0,3.0,8,29,97195574.0,-81.0,0.27586206896551724,3351571,-2.793103448275862,15320719.0,1,4,-11.0,0.25,-2.75
2452,18837,38,4773,452200,965.0,10.571428571428571,246106518,0.03696,10748.0,6,1.0,1,452200.0,246106518.0,6.0,12,56,245551025.09999996,12.0,0.21428571428571427,4384839,0.21428571428571427,-3932639.0,1,5,-16.0,0.2,-3.2
1281,19649,38,4773,416500,983.0,10.548387096774194,254079518,0.036143,10766.0,6,-5.0,0,416500.0,254079518.0,6.0,14,60,250179411.09999996,4.0,0.23333333333333334,4169656,0.06666666666666667,-3753156.0,2,6,-15.0,0.3333333333333333,-2.5
2802,5634,39,798,9542610,29.0,26.0,14691740,0.164034,4341.0,8,48.0,1,9542610.0,14691740.0,8.0,0,0,0.0,0.0,0.0,0,0.0,9542610.0,0,0,0.0,0.0,0.0
1997,10122,39,4976,3799908,0.0,80.0,18491648,0.153181,10597.0,11,-21.0,0,3799908.0,18491648.0,11.0,0,0,0.0,0.0,0.0,0,0.0,3799908.0,1,1,48.0,1.0,48.0
1873,4302,40,1995,5503750,58.0,28.5,11810750,0.081006,1991.0,18,24.0,1,5503750.0,11810750.0,18.0,0,0,0.0,0.0,0.0,0,0.0,5503750.0,0,0,0.0,0.0,0.0
1179,3017,42,4760,392700,750.0,9.545454545454543,112090309,0.203763,10490.0,80,0.0,0,392700.0,112090309.0,80.0,2,20,127548516.0,74.0,0.1,6377425,3.7,-5984725.0,0,0,0.0,0.0,0.0
1451,10966,42,4760,2053948,875.0,10.50602409638554,142869514,0.177765,10615.0,78,0.0,0,2053948.0,142869514.0,78.0,2,43,383507418.09999996,71.0,0.046511627906976744,8918777,1.6511627906976745,-6864829.0,0,1,0.0,0.0,0.0
56,13109,43,505,30178876,78.0,26.0,30178876,0.0,365.0,8,53.0,1,30178876.0,30178876.0,8.0,0,0,0.0,0.0,0.0,0,0.0,30178876.0,0,0,0.0,0.0,0.0
1992,8214,44,4760,1951874,858.0,30.642857142857142,54147589,0.033457,10566.0,2,-3.0,0,1951874.0,54147589.0,2.0,2,36,359830771.09999996,74.0,0.05555555555555555,9995299,2.0555555555555554,-8043425.0,0,0,0.0,0.0,0.0
2519,13428,44,4760,612224,943.0,26.942857142857143,65496524,0.030602,10651.0,3,0.0,0,612224.0,65496524.0,3.0,3,47,390208673.09999996,73.0,0.06382978723404255,8302312,1.553191489361702,-7690088.0,0,1,-3.0,0.0,-3.0
2330,9157,46,5073,1739304,267.0,66.75,6957216,0.0,10581.0,5,-42.0,0,1739304.0,6957216.0,5.0,1,5,39053420.0,-98.0,0.2,7810684,-19.6,-6071380.0,0,0,0.0,0.0,0.0
2533,5338,47,4883,214200,158.0,17.444444444444443,16020911,0.0,10519.0,1,-27.0,0,214200.0,16020911.0,1.0,1,1,1476790.0,2.0,1.0,1476790,2.0,-1262590.0,0,0,0.0,0.0,0.0
624,9595,47,4883,142800,228.0,13.411764705882351,33021251,0.0,10589.0,1,-31.0,0,142800.0,33021251.0,1.0,1,3,3996578.0,-29.0,0.3333333333333333,1332192,-9.666666666666666,-1189392.0,0,1,-27.0,0.0,-27.0
2446,13851,47,4883,1059100,293.0,15.421052631578949,35942701,0.0,10654.0,1,-22.0,0,1059100.0,35942701.0,1.0,1,5,6709778.0,-74.0,0.2,1341955,-14.8,-282855.0,0,2,-58.0,0.0,-29.0
922,16079,49,4760,1998605,208.0,8.625,31260527,0.0,10687.0,2,-2.0,0,1998605.0,31260527.0,2.0,6,55,406555724.09999996,111.0,0.10909090909090909,7391922,2.018181818181818,-5393317.0,0,0,0.0,0.0,0.0
1248,393,50,1255,1428208,84.0,26.0,2856202,0.0,5915.0,1,17.0,1,1428208.0,2856202.0,1.0,5,5,11055151.0,377.0,1.0,2211030,75.4,-782822.0,0,0,0.0,0.0,0.0
2773,1804,50,1255,1428000,118.0,23.0,5712202,0.0,5949.0,1,-11.0,0,1428000.0,5712202.0,1.0,20,24,47251232.0,1183.0,0.8333333333333334,1968801,49.291666666666664,-540801.0,1,1,17.0,1.0,17.0
1082,4842,53,4603,339150,621.0,15.923076923076923,23287632,0.02765,9092.0,44,-7.0,0,339150.0,23287632.0,44.0,5,7,92617957.04999998,121.0,0.7142857142857143,13231136,17.285714285714285,-12891986.0,0,0,0.0,0.0,0.0
887,13420,59,5015,5259800,373.0,14.038461538461538,27660063,0.05532,2666.0,14,0.0,0,5259800.0,27660063.0,14.0,22,54,222029146.0,143.0,0.4074074074074074,4111650,2.6481481481481484,1148150.0,0,0,0.0,0.0,0.0
1707,8741,62,5392,77937737,378.0,28.0,164317427,0.0,6788.0,2,12.0,1,43578160.04999998,164317427.0,2.0,15,17,133541127.04999998,314.0,0.8823529411764706,7855360,18.470588235294116,35722800.04999998,0,0,0.0,0.0,0.0
696,13347,66,5045,8844080,607.0,27.61904761904762,19127465,0.0,10650.0,2,37.0,1,8844080.0,19127465.0,2.0,1,1,29182077.0,97.0,1.0,29182077,97.0,-20337997.0,0,0,0.0,0.0,0.0
814,18649,69,5405,749700,485.0,12.435897435897436,1845753,0.027706,6753.0,1,-21.0,0,749700.0,1845753.0,1.0,0,2,1593935.0,0.0,0.0,796967,0.0,-47267.0,0,0,0.0,0.0,0.0
2536,16578,72,5297,1374450,462.0,6.22972972972973,22491000,0.016479,8326.0,25,0.0,0,1374450.0,22491000.0,25.0,0,19,108875873.0,0.0,0.0,5730309,0.0,-4355859.0,0,0,0.0,0.0,0.0
2503,16548,75,2909,2777114,317.0,34.666666666666664,19733192,0.082574,5337.0,2,37.0,1,2777114.0,19733192.0,2.0,0,0,0.0,0.0,0.0,0,0.0,2777114.0,0,0,0.0,0.0,0.0
2534,18478,75,2909,2777114,366.0,36.3,28943497,0.074189,5386.0,2,-3.0,0,2777114.0,28943497.0,2.0,1,1,2777114.0,37.0,1.0,2777114,37.0,0.0,1,1,37.0,1.0,37.0
548,6971,77,5015,1761200,343.0,57.0,25799200,0.090824,2555.0,8,2.0,1,1761200.0,25799200.0,8.0,8,30,124066355.0,-7.0,0.26666666666666666,4135545,-0.23333333333333334,-2374345.0,0,0,0.0,0.0,0.0
926,12269,80,613,2900000,427.0,20.285714285714285,29107826,0.018509,5179.0,4,0.0,0,2900000.0,29107826.0,4.0,20,48,780953713.3,522.0,0.4166666666666667,16269869,10.875,-13369869.0,0,0,0.0,0.0,0.0
1284,17652,86,4760,9874620,1006.0,27.944444444444443,87858750,0.002555,10722.0,2,2.0,1,9874620.0,87858750.0,2.0,9,62,442116184.09999996,115.0,0.14516129032258066,7130906,1.8548387096774193,2743714.0,0,0,0.0,0.0,0.0
1347,15873,87,4760,1850450,1003.0,17.803571428571427,43405250,0.015294,10688.0,1,0.0,0,1850450.0,43405250.0,1.0,6,56,408554329.09999996,109.0,0.10714285714285714,7295613,1.9464285714285714,-5445163.0,0,0,0.0,0.0,0.0
394,16749,87,4760,3141600,1022.0,17.517241379310345,50104950,0.014511,10707.0,1,2.0,1,3141600.0,50104950.0,1.0,7,60,438210891.09999996,111.0,0.11666666666666667,7303514,1.85,-4161914.0,0,1,0.0,0.0,0.0
299,18024,87,4760,3141600,1049.0,17.416666666666668,56804650,0.013805,10734.0,1,0.0,0,3141600.0,56804650.0,1.0,11,66,454113821.09999996,118.0,0.16666666666666666,6880512,1.7878787878787878,-3738912.0,1,2,2.0,0.5,1.0
1354,4314,90,4773,1449998,454.0,11.275,21075998,0.015182,10503.0,7,1.0,1,1449998.0,21075998.0,7.0,6,16,35728218.0,-11.0,0.375,2233013,-0.6875,-783015.0,0,0,0.0,0.0,0.0
343,9758,90,4773,1450000,545.0,12.604651162790695,25525998,0.011861,10594.0,6,-7.0,0,1450000.0,25525998.0,6.0,8,28,95745574.0,-74.0,0.2857142857142857,3419484,-2.642857142857143,-1969484.0,1,1,1.0,1.0,1.0
1720,7492,93,364,82274426,138.0,33.25,194455321,0.697454,10559.0,4,0.0,0,43578160.04999998,194455321.0,4.0,0,2,24719010.0,-15.0,0.0,12359505,-7.5,31218655.049999982,0,0,0.0,0.0,0.0
2299,927,98,4715,2395000,318.0,7.204545454545454,189400200,0.05922,10429.0,23,0.0,0,2395000.0,189400200.0,23.0,0,4,13031453.0,-26.0,0.0,3257863,-6.5,-862863.0,0,0,0.0,0.0,0.0
1952,3958,100,613,1679898,694.0,24.607142857142858,13752472,0.172877,5044.0,51,0.0,0,1679898.0,13752472.0,51.0,3,13,301057087.1999999,145.0,0.23076923076923078,23158237,11.153846153846153,-21478339.0,0,0,0.0,0.0,0.0
2948,7620,100,613,2085413,756.0,25.1,21883989,0.163309,5106.0,55,14.0,1,2085413.0,21883989.0,55.0,4,24,403023691.1999999,161.0,0.16666666666666666,16792653,6.708333333333333,-14707240.0,0,1,0.0,0.0,0.0
236,9169,100,613,2231037,798.0,25.096774193548388,24115026,0.157121,5148.0,52,0.0,0,2231037.0,24115026.0,52.0,13,37,582798321.2499999,318.0,0.35135135135135137,15751305,8.594594594594595,-13520268.0,1,2,14.0,0.5,7.0
2703,11118,104,4594,3128937,642.0,24.692307692307693,68538565,0.05103,9386.0,14,0.0,0,3128937.0,68538565.0,14.0,0,0,0.0,0.0,0.0,0,0.0,3128937.0,0,0,0.0,0.0,0.0
2445,6821,108,2256,28598318,25.0,22.0,31289320,0.0,1724.0,16,4.0,1,28598318.0,31289320.0,16.0,0,0,0.0,0.0,0.0,0,0.0,28598318.0,0,0,0.0,0.0,0.0
2750,8406,108,2256,214200,53.0,26.0,44323532,0.0,1752.0,16,-1.0,0,214200.0,44323532.0,16.0,1,1,28598318.0,4.0,1.0,28598318,4.0,-28384118.0,1,1,4.0,1.0,4.0
2115,10466,108,5339,9769187,211.0,26.25,64943465,0.0,7695.0,17,26.0,1,9769187.0,64943465.0,17.0,11,23,82701964.0,18.0,0.4782608695652174,3595737,0.782608695652174,6173450.0,1,2,3.0,0.5,1.5
654,15185,108,2256,1681823,157.0,31.2,89155438,0.0,1856.0,18,-3.0,0,1681823.0,89155438.0,18.0,1,2,28812518.0,3.0,0.5,14406259,1.5,-12724436.0,2,3,29.0,0.6666666666666666,9.666666666666666
94,14871,109,4636,357000,208.0,12.8,1426999,0.003744,10681.0,76,11.0,1,357000.0,1426999.0,76.0,0,0,0.0,0.0,0.0,0,0.0,357000.0,0,0,0.0,0.0,0.0
681,13383,110,1462,8523970,608.0,30.4,68723393,0.027592,2994.0,2,312.0,1,8523970.0,68723393.0,2.0,12,17,72463049.0,1160.0,0.7058823529411765,4262532,68.23529411764706,4261438.0,0,0,0.0,0.0,0.0
1781,14774,111,5298,1636250,9.0,8.0,473872994,0.075274,8443.0,273,-7.0,0,1636250.0,473872994.0,161.09999999999943,0,0,0.0,0.0,0.0,0,0.0,1636250.0,0,0,0.0,0.0,0.0
42,15235,111,4787,1547000,16.0,2.5,558687388,0.074334,10682.0,268,-12.0,0,1547000.0,558687388.0,161.09999999999943,0,0,0.0,0.0,0.0,0,0.0,1547000.0,0,1,-7.0,0.0,-7.0
2394,13121,112,4900,1831410,0.0,80.0,1831410,0.084314,10645.0,18,4.0,1,1831410.0,1831410.0,18.0,5,24,225408954.0,-193.0,0.20833333333333334,9392039,-8.041666666666666,-7560629.0,0,0,0.0,0.0,0.0
38,3316,113,949,4700500,5.0,80.0,4700500,0.0,3967.0,2,0.0,0,4700500.0,4700500.0,2.0,0,2,1432422.0,-5.0,0.0,716211,-2.5,3984289.0,0,0,0.0,0.0,0.0
2193,365,116,4760,2158065,735.0,13.61111111111111,143860569,0.091384,10413.0,21,0.0,0,2158065.0,143860569.0,21.0,0,2,1621356.0,0.0,0.0,810678,0.0,1347387.0,0,0,0.0,0.0,0.0
2201,5124,116,4760,3593800,836.0,13.253968253968257,185470287,0.085746,10514.0,21,0.0,0,3593800.0,185470287.0,21.0,2,27,208080351.04999998,74.0,0.07407407407407407,7706679,2.740740740740741,-4112879.0,0,1,0.0,0.0,0.0
1803,10396,116,4760,3162324,926.0,12.86111111111111,216515609,0.091254,10604.0,22,0.0,0,3162324.0,216515609.0,22.0,2,41,378982544.09999996,71.0,0.04878048780487805,9243476,1.7317073170731707,-6081152.0,0,2,0.0,0.0,0.0
2047,13139,116,4760,420070,967.0,12.893333333333333,223199958,0.088495,10645.0,22,0.0,0,420070.0,223199958.0,22.0,3,46,389788603.09999996,73.0,0.06521739130434782,8473665,1.5869565217391304,-8053595.0,0,3,0.0,0.0,0.0
927,3760,117,4900,4680389,96.0,22.75,11247523,0.057453,10489.0,2,-18.0,0,4680389.0,11247523.0,2.0,1,8,108488864.0,-95.0,0.125,13561108,-11.875,-8880719.0,0,0,0.0,0.0,0.0
428,6300,121,4693,2919022,724.0,65.81818181818181,210489166,0.109625,11988.0,11,-7.0,0,2919022.0,210489166.0,11.0,4,22,193679569.0,-165.0,0.18181818181818182,8803616,-7.5,-5884594.0,0,0,0.0,0.0,0.0
387,8510,121,939,10222100,253.0,15.5625,236904310,0.106978,4012.0,12,-22.0,0,10222100.0,236904310.0,12.0,0,1,3122203.0,-26.0,0.0,3122203,-26.0,7099897.0,0,1,-7.0,0.0,-7.0
1022,10456,121,4693,1749300,794.0,66.0,254058160,0.102926,12058.0,11,-7.0,0,1749300.0,254058160.0,11.0,6,38,313919565.0,-157.0,0.15789473684210525,8261041,-4.131578947368421,-6511741.0,0,2,-29.0,0.0,-14.5
2727,18583,121,939,892500,422.0,19.181818181818183,286089682,0.089935,4181.0,10,-32.0,0,892500.0,286089682.0,10.0,1,4,18547578.0,-55.0,0.25,4636894,-13.75,-3744394.0,0,3,-36.0,0.0,-12.0
580,18782,121,939,8344280,424.0,18.43478260869565,294433962,0.089748,4183.0,10,-39.0,0,8344280.0,294433962.0,10.0,1,5,19440078.0,-87.0,0.2,3888015,-17.4,4456265.0,0,4,-68.0,0.0,-17.0
1064,8651,122,295,264727,249.0,8.551724137931034,12215710,0.0,3150.0,5,28.0,1,264727.0,12215710.0,5.0,0,0,0.0,0.0,0.0,0,0.0,264727.0,0,0,0.0,0.0,0.0
406,10884,122,295,107671,283.0,8.71875,18071902,0.0,3184.0,5,29.0,1,107671.0,18071902.0,5.0,1,1,264727.0,28.0,1.0,264727,28.0,-157056.0,1,1,28.0,1.0,28.0
276,4160,124,560,731136,97.0,96.0,1096704,0.166648,10498.0,55,-18.0,0,731136.0,1096704.0,55.0,0,0,0.0,0.0,0.0,0,0.0,731136.0,0,0,0.0,0.0,0.0
245,5693,124,357,1725911,236.0,47.2,6347074,0.157231,10525.0,51,1.0,1,1725911.0,6347074.0,51.0,1,1,3332000.0,15.0,1.0,3332000,15.0,-1606089.0,0,1,-18.0,0.0,-18.0
2954,5808,124,351,3299997,0.0,80.0,9647071,0.17866,365.0,51,45.0,1,3299997.0,9647071.0,51.0,0,0,0.0,0.0,0.0,0,0.0,3299997.0,1,2,-17.0,0.5,-8.5
861,6981,124,518,5899734,420.0,83.8,15546805,0.171236,10547.0,50,12.0,1,5899734.0,15546805.0,50.0,0,0,0.0,0.0,0.0,0,0.0,5899734.0,2,3,28.0,0.6666666666666666,9.333333333333334
906,8753,124,446,579996,93.0,18.4,40292002,0.220505,8213.0,50,14.0,1,579996.0,40292002.0,50.0,0,0,0.0,0.0,0.0,0,0.0,579996.0,3,4,40.0,0.75,10.0
1977,1250,125,1255,428400,154.0,29.2,13869871,0.0,5937.0,10,-31.0,0,428400.0,13869871.0,10.0,15,16,31266738.0,816.0,0.9375,1954171,51.0,-1525771.0,0,0,0.0,0.0,0.0
46,5500,125,1255,2288632,259.0,17.133333333333333,42220671,0.0,6042.0,11,-9.0,0,2288632.0,42220671.0,11.0,31,40,97613026.0,1564.0,0.775,2440325,39.1,-151693.0,0,1,-31.0,0.0,-31.0
2185,8502,127,379,4913867,372.0,16.90909090909091,125257334,0.267954,9475.0,4,-7.0,0,4913867.0,125257334.0,4.0,0,0,0.0,0.0,0.0,0,0.0,4913867.0,0,0,0.0,0.0,0.0
1680,10265,127,379,4913867,403.0,17.52173913043478,182395616,0.243308,9506.0,4,6.0,1,4913867.0,182395616.0,4.0,0,1,4913867.0,-7.0,0.0,4913867,-7.0,0.0,0,1,-7.0,0.0,-7.0
2306,13888,127,379,4913867,459.0,18.36,306857096,0.202698,9562.0,4,-9.0,0,4913867.0,306857096.0,4.0,1,2,9827734.0,-1.0,0.5,4913867,-0.5,0.0,1,2,-1.0,0.5,-0.5
2339,15108,127,378,27581380,149.0,18.625,334438476,0.199054,10673.0,4,7.0,1,27581380.0,334438476.0,4.0,0,0,0.0,0.0,0.0,0,0.0,27581380.0,1,3,-10.0,0.3333333333333333,-3.3333333333333335
510,16351,127,379,4913867,494.0,19.0,339352343,0.192077,9597.0,4,-9.0,0,4913867.0,339352343.0,4.0,1,3,14741601.0,-10.0,0.3333333333333333,4913867,-3.3333333333333335,0.0,2,4,-3.0,0.5,-0.75
1770,17743,127,379,4913867,526.0,19.444444444444443,371847590,0.181404,9629.0,4,-20.0,0,4913867.0,371847590.0,4.0,1,4,19655468.0,-19.0,0.25,4913867,-4.75,0.0,2,5,-12.0,0.4,-2.4
22,11849,129,5292,987700,642.0,42.6,8435910,0.016154,8508.0,23,31.0,1,987700.0,8435910.0,23.0,0,0,0.0,0.0,0.0,0,0.0,987700.0,0,0,0.0,0.0,0.0
2417,12851,129,5337,3751449,95.0,22.5,12187359,0.015541,7749.0,24,15.0,1,3751449.0,12187359.0,24.0,0,0,0.0,0.0,0.0,0,0.0,3751449.0,1,1,31.0,1.0,31.0
797,17016,130,1462,18882920,424.0,30.285714285714285,140321825,0.0,3053.0,2,255.0,1,18882920.0,140321825.0,2.0,15,20,86596679.0,1988.0,0.75,4329833,99.4,14553087.0,0,0,0.0,0.0,0.0
